text ~ "ggp*" order by key
text ~ "wnk*" order by key
text ~ "uby*" order by key
text ~ "yhb*" order by key
text ~ "otw*" order by key
text ~ "jtt*" order by key
text ~ "hlj*" order by key
text ~ "utq*" order by key
text ~ "lxb*" order by key
text ~ "kfn*" order by key
text ~ "gsy*" order by key
text ~ "czd*" order by key
text ~ "fwn*" order by key
text ~ "fok*" order by key
text ~ "hkg*" order by key
text ~ "xma*" order by key
text ~ "dkz*" order by key
text ~ "swh*" order by key
text ~ "mpu*" order by key
text ~ "xmk*" order by key
text ~ "toc*" order by key
text ~ "dai*" order by key
text ~ "oxs*" order by key
text ~ "yoj*" order by key
text ~ "foy*" order by key
text ~ "yew*" order by key
text ~ "zcl*" order by key
text ~ "sbl*" order by key
text ~ "ieo*" order by key
text ~ "jgs*" order by key
text ~ "ebq*" order by key
text ~ "oud*" order by key
text ~ "rep*" order by key
text ~ "nhs*" order by key
text ~ "fxi*" order by key
text ~ "yat*" order by key
text ~ "sts*" order by key
text ~ "xqz*" order by key
text ~ "btt*" order by key
text ~ "wsx*" order by key
text ~ "sjq*" order by key
text ~ "fiv*" order by key
text ~ "lso*" order by key
text ~ "hyp*" order by key
text ~ "pwo*" order by key
text ~ "vkd*" order by key
text ~ "jcd*" order by key
text ~ "bfu*" order by key
text ~ "bxy*" order by key
text ~ "xau*" order by key
text ~ "jdl*" order by key
text ~ "qje*" order by key
text ~ "myf*" order by key
text ~ "adw*" order by key
text ~ "oeq*" order by key
text ~ "yvg*" order by key
text ~ "sxv*" order by key
text ~ "kvz*" order by key
text ~ "gfk*" order by key
text ~ "wda*" order by key
text ~ "qns*" order by key
text ~ "gpc*" order by key
text ~ "swf*" order by key
text ~ "jji*" order by key
text ~ "hzu*" order by key
text ~ "cos*" order by key
text ~ "zjc*" order by key
text ~ "rgf*" order by key
text ~ "rmb*" order by key
text ~ "axr*" order by key
text ~ "uaq*" order by key
text ~ "udl*" order by key
text ~ "xov*" order by key
text ~ "enb*" order by key
text ~ "dgi*" order by key
text ~ "oxg*" order by key
text ~ "lmx*" order by key
text ~ "mjt*" order by key
text ~ "cbt*" order by key
text ~ "air*" order by key
text ~ "gpt*" order by key
text ~ "oyx*" order by key
text ~ "dpt*" order by key
text ~ "bfg*" order by key
text ~ "fzi*" order by key
text ~ "nyu*" order by key
text ~ "hnf*" order by key
text ~ "lxf*" order by key
text ~ "nie*" order by key
text ~ "cpa*" order by key
text ~ "cbp*" order by key
text ~ "zkf*" order by key
text ~ "lpd*" order by key
text ~ "jof*" order by key
text ~ "fxf*" order by key
text ~ "mvv*" order by key
text ~ "hdk*" order by key
text ~ "wle*" order by key
text ~ "kjv*" order by key
text ~ "xtz*" order by key
text ~ "rnv*" order by key
text ~ "avv*" order by key
text ~ "mau*" order by key
text ~ "qal*" order by key
text ~ "sbn*" order by key
text ~ "hqy*" order by key
text ~ "bsc*" order by key
text ~ "njh*" order by key
text ~ "jkq*" order by key
text ~ "dgh*" order by key
text ~ "ery*" order by key
text ~ "gjl*" order by key
text ~ "svg*" order by key
text ~ "sgz*" order by key
text ~ "szt*" order by key
text ~ "ngo*" order by key
text ~ "ppl*" order by key
text ~ "hpq*" order by key
text ~ "wwe*" order by key
text ~ "nxu*" order by key
text ~ "twp*" order by key
text ~ "ils*" order by key
text ~ "wtz*" order by key
text ~ "jds*" order by key
text ~ "lcp*" order by key
text ~ "gvh*" order by key
text ~ "xda*" order by key
text ~ "kaz*" order by key
text ~ "igo*" order by key
text ~ "xck*" order by key
text ~ "ofn*" order by key
text ~ "fbf*" order by key
text ~ "yht*" order by key
text ~ "ugr*" order by key
text ~ "axh*" order by key
text ~ "dsz*" order by key
text ~ "bks*" order by key
text ~ "shm*" order by key
text ~ "jgr*" order by key
text ~ "whq*" order by key
text ~ "pis*" order by key
text ~ "ytv*" order by key
text ~ "zwe*" order by key
text ~ "tih*" order by key
text ~ "ubc*" order by key
text ~ "lml*" order by key
text ~ "jtm*" order by key
text ~ "isj*" order by key
text ~ "los*" order by key
text ~ "ypy*" order by key
