AANES,10396
AAFAIA,10263
AASSS,10334
AAOLE,10333
AABIS,10448
AARES,10480
ABEHI,10493
ABICA,10202
ABBII,10358
ABHEI,10153
ACUMS,10391
ACMBA,10332
ACIQS,10444
ACORIA,10458
ACURSA,10307
ADURS,10286
ADECSA,10174
AEBII,10250
ALLI,10399
AEDEIA,10262
AERRO,10182
AFMEM,10172
AFOCIA,10095
AGPESA,10380
AGTUSA,10430
AGTISA,10328
AGISAA,10054
AGEES,10345
AIULM,10181
AIATIA,10075
AJGOI,10115
AJANAA,10465
AKEBI,10220
ALORS,10236
AICA,10360
ALOGRA,10056
AMLEIA,10074
AMLOSA,10344
AMCKM,10355
AMOSSA,10311
ANNUS,10464
ANTII,10363
ANPPN,10164
AOATAA,10462
AOVIIA,10434
APNDA,10055
APEUS,10069
AHYA,10235
APTHN,10338
APOEI,10205
APTEI,10084
APINS,10352
APOES,10203
APAMMA,10109
ARDLI,10215
ASTIAA,10417
ASHUIA,10247
ASENXA,10411
ASRVL,10369
ASAPI,10422
ASARS,10090
ASCHI,10158
ATSASA,10097
ATEBA,10249
ATALAA,10455
ATKEAA,10050
ATQUAA,10081
AUSIS,10471
AVMAI,10439
AYABEA,10435
ATES,10077
BHMI,10142
BADAI,10057
BAORS,10291
BATRXA,10402
BBEIA,10061
BCIGAA,10198
BCISIA,10091
BCOGR,10331
BCYSSA,10379
BCRNIA,10134
BCVEAA,10368
BCYPS,10494
BDROSA,10103
BDROI,10287
BDESS,10314
BDIDA,10173
BEEGS,10407
BENDIA,10144
BEMIS,10179
BGOVI,10414
BGICS,10483
BGEESA,10107
BHLIA,10457
BHNPNA,10143
BRDI,10177
BISN,10096
BJONA,10424
BJULS,10152
BKFFIA,10078
BLUCAA,10356
BLUPS,10427
BMAUA,10258
BMDWIA,10426
BMIRS,10484
BMTES,10106
BMRRI,10060
BNITSA,10303
BNTHI,10431
BONGEA,10099
BORIIA,10079
BPAUIA,10168
BPEGA,10059
BPAYIA,10271
BPAYSA,10190
BQMAS,10222
BRAPXA,10392
BRSSIA,10051
BRANS,10169
BSARS,10456
BTLES,10461
BTELMA,10370
BTICR,10070
BTCOR,10062
BTMISA,10225
BTURA,10141
BBII,10243
BSAS,10131
BVLLA,10066
BVNGS,10068
BWTZI,10274
BZNKIA,10330
CABRE,10412
CAROAA,10339
CAANIA,10229
CAFRIA,10082
CAICA,10353
CAOESA,10309
CAORI,10089
CAYNSA,10452
CAISAA,10064
CAENAA,10290
CATESA,10481
CBADA,10497
CBLWIA,10384
CBLUIA,10436
CBNEI,10446
CBCAA,10209
CBSSIA,10325
CCDAS,10086
CCENMA,10346
CDSISA,10212
CDIAIA,10315
CDERIA,10130
CDSASA,10080
CDUCI,10067
CEIUS,10382
CEGIS,10485
CFCOIA,10419
CFSOS,10283
CFLOAA,10254
CGIES,10052
CGAUI,10133
CGSEA,10361
CGSESA,10186
CHNPNA,10374
CHPISA,10255
CHOVAA,10132
CINISA,10085
CIDUS,10137
CIIGSA,10420
CIULM,10257
CJNSI,10357
CKHOAA,10224
CLROM,10442
CLPTA,10335
CLNUS,10264
CMXIA,10200
CMATM,10298
CNCYE,10252
CNRES,10486
CNIAA,10305
CNLKSA,10120
CNOLEA,10088
CDIR,10218
CORDIA,10488
CPGUS,10326
CPIFIA,10322
CPENSA,10093
CPLANA,10195
CPRUA,10193
CPTUS,10265
CPTOS,10349
CQICSA,10166
CQSIRA,10053
CRARI,10076
CRARS,10156
CRUSR,10238
CRBIAA,10227
CSPAS,10276
CSENX,10248
CSMUSA,10233
CSGIAA,10092
CSTTA,10148
CSRASA,10063
CTIPSA,10371
CTBAA,10300
CTHLSA,10219
CUTRAA,10272
CVEGSA,10327
CVELX,10185
CVLLA,10073
CVNSI,10304
CVERSA,10256
CVIROA,10154
CWTRSA,10147
CXPES,10469
CZONS,10260
DYEI,10087
FNQI,10170
GABR,10354
HHRS,10440
JOBS,10139
KANS,10270
KEBI,10404
LITA,10149
MARI,10389
MHTS,10098
MHOI,10058
MTES,10072
NEGS,10175
OSTS,10425
OENS,10323
PNGS,10083
ROBS,10441
RGIA,10317
RNBI,10065
SMBI,10102
SINO,10071
SDIS,10413
TMAE,10094
TECS,10351
TACA,10468
TNCS,10125
VLLR,10359
